kraj,okres,obec,cintorín,národnosť,dôvodÚmrtia,dátumÚmrtia,početHrobov,početPochovaných,GPS
Banskobystrický,Revúca,Jelšava,obecný,"12 čs.
3 poľ.
1 juh.
3 maď.
2 rak.
3 rum.
1 rus.
6 neznámi
",-,-,31,31,48.627958 20.240298
Banskobystrický,Revúca,Kameňany,spoločný,"1 čes.
","zastrelený pri obci
","6/1919
",3,3,48.57543 20.173752
Banskobystrický,Revúca,Lubeník,evanjelický,"čes.
",-,-,1,1,48.653799 20.179173
Banskobystrický,Revúca,Muráň,obecný,"1 dom.
2 rus.
",-,-,3,3,48.748737 20.027712
Banskobystrický,Revúca,Rákoš,obecný,"domáci
",-,-,3,3,48.639261 21.429603
Banskobystrický,Revúca,Razková,evanjelický obecný,"1 domáci
1 maď.
",-,-,2,2,49.4426 18.73386
Banskobystrický,Revúca,Ratkovské Bystré,obecný,"domáci
",-,-,1,1,48.665948 20.038439
Banskobystrický,Revúca,Široký Železník,-,"2 poľ.
1 rum.
1 rus.
",-,-,4,4,48.631281 20.120405
Banskobystrický,Revúca,Turčok,obecný,"domáci
",-,-,2,2,48.638873 20.144662
Banskobystrický,Rimavská Sobota,Babinec,obecný,"domáci
",-,-,1,1,48.524666 20.000796
Banskobystrický,Rimavská Sobota,Čerenčany,evanjelický,"domáci
",-,-,2,2,48.409106 19.998598
Banskobystrický,Rimavská Sobota,Hnúšťa,židovský obecný,"neznámy
","ťažké zranenie
","6/1919
",1,1,48.578704 19.953189
Banskobystrický,Rimavská Sobota,Hnúšťa,katolícky,"maď.
","zranenie v boji
","6/1919
",1,1,48.578704 19.953189
Banskobystrický,Rimavská Sobota,Hnúšťa,evanjelický obecný,"1 maď.
1 neznámy
","zastrelený
","6/1919
",2,2,48.578704 19.953189
Banskobystrický,Rimavská Sobota,Hostišovce,evanjelický,"domáci
",-,-,1,1,48.500682 20.121942
Banskobystrický,Rimavská Sobota,Klenovec,evanjelický,"3 domáci
1 tal.
",-,-,4,4,48.642904 19.82366
Banskobystrický,Rimavská Sobota,Kokava nad Rimavicou,obecný,"domáci
","1 zastrelený pri
rabovaní
",-,2,2,48.582675 19.817567
Banskobystrický,Rimavská Sobota,KokavaUtekáč nad Rimavicou,obecný,"1 domáci
1 slov.
",-,-,2,2,48.64394 19.64707
Banskobystrický,Rimavská Sobota,Kraskovo,evanjelický,"domáci
",-,-,1,1,48.501286 19.986355
Banskobystrický,Rimavská Sobota,Likier,obecný súkromný,"1 rum.
2 neznámi
2 maď.
","padli
","6/1919
6/1919
",5,5,48.956478 18.883136
Banskobystrický,Rimavská Sobota,Likier,evanjelický obecný,"domáci
",-,-,1,1,48.956478 18.883136
Banskobystrický,Rimavská Sobota,Lukovištia,obecný,"domáci
",-,-,1,1,48.483407 20.021931
Banskobystrický,Rimavská Sobota,Melecheď,evanjelický,"čes.
","zastrel. boľševikmi
","6/1919
",1,1,48.701801 18.136487
Banskobystrický,Rimavská Sobota,Poltár,spoločný,"domáci
",-,-,5,5,48.432222 19.793333
Banskobystrický,Rimavská Sobota,Rimavská Sobota,evanjelický obecný,"maď.
","po zranení
","7/1919
",1,1,48.383333 20.018333
Banskobystrický,Rimavská Sobota,Rimavské Brezovo,evanjelický obecný,"1 domáci
2 maď.
","na zranenie v boji
","6/1919
",3,3,48.539043 19.968938
Banskobystrický,Rimavská Sobota,Tisovec,mestský,"3 čs.
6 poľ.
1 maď.
1 rum.
15 neznámi
","padli v boji
padol padol
8 padlo v boji
","6/1919
6/1919
6/1919
6/1919
",13,13,48.681276 19.942063
Banskobystrický,Rimavská Sobota,Tisovec,evanjelický obecný,"domáci
",-,-,7,7,48.681276 19.942063
Banskobystrický,Rimavská Sobota,Veľké Teriakovce,evanjelický,"1 neznámy
10 poľ.
",-,-,11,11,48.429569 19.963071
Banskobystrický,Rimavská Sobota,Zlatno,obecný,"slov.
",-,-,1,1,48.516982 19.818892
Banskobystrický,Rimavská Sobota,Ožďany,spoločný obecný,"4 čes.
4 poľ.
","padli v boji pri Veľ. Dravciach
","5/1919
",6,6,48.377942 19.904099
Banskobystrický,Rimavská Sobota,Rimavská Sobota,mestský obecný,"12 čs.
3 tal..
21 maď.
57 poľ.
5 rak.
4 rus.
42 rum.
10 juh.
64 neznámi
",-,-,216,216,48.383333 20.018333
Banskobystrický,Rimavská Sobota,Rimavská Sobota,židovský,"1 čs.
9 poľ.
1 maď.
1 rum.
4 neznámi
","1 zastrelený
","5/1919
",16,16,48.383333 20.018333
Banskobystrický,Rimavská Sobota,Tomášovce,obecný,"2 domáci
1 rum.
",-,-,3,3,48.371243 19.619738
Banskobystrický,Rimavská Sobota,Zacharovce,evanjelický obecný,"1 domáci
",-,-,1,1,48.40754 20.058039
Košický,Rožňava,Betliar,obecný,"1 domáci
1 maď.
","na zranenie v boji
",-,2,2,48.723905 20.523816
Košický,Rožňava,Brzotín,evanjelický obecný,"1 domáci
1 čes.
","v boji
","1919
",2,2,48.6278 20.508213
Košický,Rožňava,Dobšiná,katolícky obecný,"1 čes.
","v boji
","6/1919
",2,2,48.821136 20.364912
Košický,Rožňava,Dobšiná,evanjelický,"domáci
","z toho 5 exhumov.
",-,7,7,48.821136 20.364912
Košický,Rožňava,Gočaltovo,evanjelický obecný,"domáci
",-,-,1,1,48.641964 20.322473
Košický,Rožňava,Harskut,obecný,"domáci
",-,-,1,1,48.626682 20.623309
Košický,Rožňava,Jolesz,obecný,"maď.
","zastrelený
","5/1919
",1,1,48.626213 20.54599
Košický,Rožňava,Pašková,obecný,"domáci
",-,-,1,1,48.589248 20.38475
Košický,Rožňava,Plešivec,obecný,"12 čs.
1 juh.
2 poľ.
3 rum.
8 maď.
20 neznámi
","4 čs. padli v boji
5 padli v boji
","6/1919
6/1919
",36,36,48.590228 20.428243
Košický,Rožňava,Rožňava,obecný,"16 čs.
3 juh.
4 poľ.
2 rum.
3 maď.
1nem.
10 neznámi
","6 čs. padlo v boji
1 prísl. robot. pluku
","6/1919
6/1919
",39,39,48.662778 20.533889
Košický,Rožňava,Rožňava,židovský obecný,"domáci
",-,-,1,1,48.662778 20.533889
Košický,Rožňava,Rožňavské Bystré,evanjelický obecný,"domáci
",-,-,1,1,48.670572 20.440736
Košický,Rožňava,Rudná,luteránsky obecný,"domáci
",-,-,1,1,48.665002 20.484494
Košický,Rožňava,Salovec,obecný,"nez.
tal. leg.
","padol v boji pri obci
","1919
",1,1,48.424814 17.524172
Košický,Rožňava,Silica,obecný,"10 čs.
1 maď.
2 neznámi
",-,-,13,13,48.567027 20.526362
Košický,Rožňava,Štítnik,spoločný,"4 domáci
1 poľ.
",-,-,5,5,48.656923 20.355609
Košický,Rožňava,Štítnik,židovský,"neznámy
","padol pri Štítniku
","6/1919
",1,1,48.656923 20.355609
Košický,Rožňava,Veľká Poloma,nový spoločný,"2 čes.
1 slov.
","padli v boji pri obci
","5/1919
",3,3,48.62968 19.16829
Košický,Rožňava,Veľká Poloma,-,"maď. boľ.
","padli v boji
","6/1919
",1,1,48.62968 19.16829
Žilinský,Ružomberok,Ružomberok,vojenský,"190 čs.
4 tal.
250 maď.
12 poľ.
15 rak.
44 rus.
160 rum.
119 juh.
1 tur.
79 neznámi
",-,-,874,874,49.081667 19.304444
Žilinský,Ružomberok,Ružomberok,židovský,"3 čs.
7 maď.
2 rum.
",-,-,-,-,49.081667 19.304444
Žilinský,Ružomberok,Ružomberok,mestský obecný,"1 slov.
1 čes.
33 neznámi
",-,-,35,35,49.081667 19.304444
Žilinský,Ružomberok,Bešeňová,obecný,"rum.
",-,-,1,1,49.114315 19.439063
Žilinský,Ružomberok,Černová,obecný,"domáci
",-,-,3,3,48.303727 19.930771
Žilinský,Ružomberok,Likavka,obecný,"1 slov.
1 rum.
",-,-,2,2,49.1101 19.295973
Žilinský,Ružomberok,Lipt. Štiavnica,obecný,"domáci
",-,-,1,1,48.80889 19.55539
Žilinský,Ružomberok,Lisková,obecný,"domáci
",-,-,7,7,49.105887 19.355244
Žilinský,Ružomberok,Ludrová,obecný,"domáci
",-,-,1,1,49.052048 19.325238
Žilinský,Ružomberok,Madočany,katolícky obecný,"rum.
",-,-,3,3,49.10802 19.40814
Žilinský,Ružomberok,Sliače,katolícky,"domáci
",-,-,4,4,49.06095 19.38534
Žilinský,Ružomberok,Sliače,obecný,"domáci
",-,-,2,2,49.06095 19.38534
Prešovský,Sabinov,Bertovce,obecný,"1 maď.
1 neznámy
","v obci
padol v boji pri obci
","6/1919
6/1919
",2,2,49.090245 20.7904
Prešovský,Sabinov,Brzovica nad Torysou,katolícky obecný,"domáci
",-,-,2,2,48.661644 17.53703
Prešovský,Sabinov,Hendrychovce,obecný,"neznámy
","padol v boji pri obci
","5/1919
",1,1,49.02226 21.00309
Prešovský,Sabinov,Jakuboviany,obecný,"neznámy
",-,-,1,1,48.531939 18.350378
Prešovský,Sabinov,Michaľany nad Torysou,obecný,"čes.
","tal. leg. padol v boji
pri obci
","6/1919
",1,1,48.190786 18.270465
Prešovský,Sabinov,Orlov,gréckokatolícky obecný,"neznámi
",-,"1914
",5,5,49.298105 20.881905
Prešovský,Sabinov,Ostroviany,obecný,"maď. boľ.
","padli v boji
","6/1919
",2,2,48.719978 22.163816
Prešovský,Sabinov,Pečeňovská Nová Ves,obecný,"slov.
","padol v boji pri obci
","6/1919
",1,1,49.05838 19.68322
Prešovský,Sabinov,Plaveč nad Popradom,obecný,"domáci
",-,-,1,1,48.510722 17.297664
Prešovský,Sabinov,Poloma,obecný,"domáci
",-,-,1,1,49.170529 20.818065
Prešovský,Sabinov,Sabinov,katolícky obecný,"15 čs.
14 maď. 
3 rum.
2 rus.
17 juh.
2 poľ.
3 neznámi
",-,"1914
",67,67,49.102778 21.097778
Prešovský,Sabinov,Terňa,katolícky obecný,"domáci
",-,-,4,4,49.129006 21.219365
Prešovský,Sabinov,Torysa,obecný,"domáci
rum.
",-,-,2,2,49.155198 20.884241
Košický,Sečovce,Čelovce,obecný,"domáci
",-,-,1,1,48.1926 19.136822
Košický,Sečovce,Dargov,obecný,"neznámy
",-,-,1,1,48.750187 21.561426
Košický,Sečovce,Dvorianky,obecný,"domáci
",-,-,1,1,48.726105 21.712704
Košický,Sečovce,Hardište,obecný,"poľ.
",-,-,1,1,48.49217 19.72273
Košický,Sečovce,Horovce,obecný,"čs.
",-,-,1,1,49.049377 18.25975
Košický,Sečovce,Hriadky,obecný,"domáci
",-,-,1,1,48.700724 21.710124
Košický,Sečovce,Kraviany,obecný,"domáci
",-,-,1,1,48.52963 19.445788
Košický,Sečovce,Lastovce,obecný,"čes.
","padol v boji v obci
","6/1919
",1,1,48.54204 21.635609
Košický,Sečovce,Michaľany,rusínsky obecný,"6 čs.
1 rak.
17 maď.
1 rus.
7 rum.
7 juh.
1 tur.
34 neznámi
",-,-,73,73,48.190786 18.270465
Košický,Sečovce,Michaľany,židovský,"poľ.
",-,-,1,1,48.190786 18.270465
Košický,Sečovce,Parchoviany,obecný,"neznámi
",-,-,2,2,48.811903 20.882427
Košický,Sečovce,Sečovce,obecný,"domáci
rum.
",-,-,4,4,48.700688 21.665986
Košický,Sečovce,Sečovce,židovský,"domáci
",-,-,1,1,48.700688 21.665986
Košický,Sečovce,Sirnek,gréckokatolícky obecný,"domáci
",-,-,1,1,48.412372 18.027947
Košický,Sečovce,Stankovce,obecný,"1 maď.
1 poľ.
",-,-,2,2,48.767366 21.659911
Košický,Sečovce,Trebišov,katolícky obecný starý,"7 čs.
4 poľ.
13 maď.
3 rak.
7 rum.
1 juh.
12 nez.
",-,"1914
",47,47,48.629722 21.719722
Košický,Sečovce,Tušice,obecný,"domáci
",-,-,2,2,48.728688 21.746786
Košický,Sečovce,Tušická N. Ves,obecný,"domáci
",-,-,1,1,48.71687 21.75173
Košický,Sečovce,Velaty,obecný,"1 čs.
2 maď.
1 poľ.
1 neznámy
","prestrelená hlava vo
Velatoch
","4/1919
",1,5,48.517894 21.661788
Košický,Sečovce,Veľká Bara,evanjelický obecný,"1 čs.
1 dom.
",-,-,2,2,48.424045 21.728523
Košický,Sečovce,Veľký Kazimír,obecný,"2 neznámi
","padli v boji s boľšev.
","1919
",1,2,48.533348 18.40481
Košický,Sečovce,Višňov,obecný,"domáci
",-,-,1,1,48.746818 21.675947
Košický,Sečovce,Vojčice,obecný,"čes.
",-,"1915
",1,1,48.680876 21.723464
Trnavský,Senica,Dojč,obecný,"domáci
",-,-,1,1,48.684531 17.25446
Trnavský,Senica,Dolina,evanjelický obecný,"domáci
",-,-,4,4,48.635022 17.996395
Trnavský,Senica,Hlboké,katolícky,"tal.
",-,-,2,2,48.63813 17.409263
Trnavský,Senica,Hlboké,evanjelický,"domáci
",-,-,4,4,48.63813 17.409263
Trnavský,Senica,Jablonica,obecný,"1 čes.
1 juh.
",-,-,2,2,48.598031 17.43776
Trnavský,Senica,Kunov,spoločný obecný,"domáci
",-,-,3,3,48.694437 17.396607
Trnavský,Senica,Osuské,katolícky,"domáci
",-,-,1,1,48.639377 17.451199
Trnavský,Senica,Prietrž,evanjelický,"domáci
",-,-,5,5,48.688097 17.451243
Trnavský,Senica,Rohov,katolícky obecný,"slov.
",-,-,1,1,48.731191 17.339038
Trnavský,Senica,Rybky,obecný,"domáci
",-,-,1,1,48.716621 17.335198
Trnavský,Senica,Senica,katolícky,"1 domáci
1 rus.
",-,-,2,2,48.676389 17.363889
Trnavský,Senica,Senica,evanjelický,"domáci
","1 zastrelený ako zradca
","7/11/1918
",2,2,48.676389 17.363889
Trnavský,Senica,Smolinské,obecný,"domáci
",-,-,2,2,48.683014 17.11009
Trnavský,Senica,Sobotište,katolícky,"domáci
",-,-,1,1,48.745494 17.404331
Trnavský,Senica,Sobotište,evanjelický obecný,"domáci
",-,-,4,4,48.745494 17.404331
Trnavský,Senica,Šaštín,obecný,"1 domáci
1 tal.
1 rum.
",-,-,3,3,48.636992 17.148493
Prešovský,Snina,Belá nad Cirochou,katolícky obecný,"neznámi
","padli v obci
","1915
",4,4,48.968036 22.113685
Prešovský,Snina,Dlhé nad Cirochou,obecný,"neznámi
","padli
","1915
",3,3,48.970861 22.059519
Prešovský,Snina,Hostovice,vojenský,-,-,"1915
",26,110,49.131465 22.127422
Prešovský,Snina,Parihuzovce,vojenský,"neznámi
","padli
","1915
",145,480,49.117162 22.202577
Prešovský,Snina,Pčoliné,vojenský,"neznámi
","padli
","1915
",26,26,49.064624 22.176978
Prešovský,Snina,Snina,katolícky,-,"padli
","3/1915
",267,267,48.9875 22.151944
Prešovský,Snina,Snina,-,"neznámi
",-,-,1,130,48.9875 22.151944
Prešovský,Snina,Snina,vojenský epidemický,"neznámi
",-,-,2,153,48.9875 22.151944
Prešovský,Snina,Klenová,gréckokatolícky obecný,"neznámy
rum.
",-,-,1,1,48.954062 22.320065
Prešovský,Snina,Kolbasov,vojenský,"neznámi
",-,"1915
",33,33,49.009526 22.372095
Prešovský,Snina,Kolonica,obecný,"neznámi
",-,-,9,33,48.948208 22.254033
Prešovský,Snina,Ladomírov,gréckokatolícky obecný,"neznámi
",-,-,4,35,48.923176 22.291137
Prešovský,Snina,Ostrožnica,vojenský,"neznámi
","padli v boji pri Ostružnici
","5/1915
",2,84,48.719978 22.163816
Prešovský,Snina,Prislop,vojenský obecný,"neznámi
",-,"1914
",3,81,49.043853 22.314867
Prešovský,Snina,Runina,vojenský obecný,"neznámi
",-,-,60,90,49.079089 22.407342
Prešovský,Snina,Ruský Hrabovec,gréckokatolícky obecný,"čes.
poľ.
","cholera
","1914
",2,2,48.851854 22.34996
Prešovský,Snina,Ruský Potok,vojenský štátny,"neznámi
","padli v okolí obce
",-,27,37,49.029213 22.413945
Prešovský,Snina,Smolník,vojenský,"neznámi
",-,-,17,124,49.1 22.283333
Prešovský,Snina,Starina,vojenský,"neznámi
",-,-,82,117,49.323394 20.825449
Prešovský,Snina,Topola,vojenský,"neznámi
",-,-,119,240,49.050871 22.362461
Prešovský,Snina,Ubla,gréckokatolícky obecný,"absolútne
neznámi
",-,-,4,41,48.9065 22.387259
Prešovský,Snina,Ulič,vojenský obecný,"neznámi
",-,-,61,71,48.961813 22.424209
Prešovský,Snina,Uličské Krivé,židovský súkromný,"1 poľ.
1 maď.
",-,-,2,2,49.000551 22.445087
Prešovský,Snina,Veľká Poľana,vojenský súkromný,"neznámi
",-,-,40,220,48.840324 21.030912
Prešovský,Snina,Zboj,vojenský štátny,"neznámi
asi
184 rus.
",-,-,115,203,49.04824 22.466413
Trnavský,Skalica,Brodské,obecný,"domáci
",-,-,5,5,48.695064 17.03125
Trnavský,Skalica,Holíč,katolícky obecný,"4 domáci
1 poľ.
1 rak.
1 neznámy
",-,-,7,7,48.808256 17.162816
Trnavský,Skalica,Holíč,evanjelický,"domáci
",-,-,2,2,48.808256 17.162816
Trnavský,Skalica,Holíč,židovský,"domáci
",-,-,2,2,48.808256 17.162816
Trnavský,Skalica,Kúty,katolícky obecný,"domáci
",-,"1919
",16,16,48.659495 17.011081
Trnavský,Skalica,Modrý háj,obecný,"domáci
",-,-,1,1,48.24047 19.33459
Trnavský,Skalica,Skalica,katolícky,"6 domáci
3 slov.
1 rus
2 poľ.
",-,-,12,12,48.845208 17.227913
Trnavský,Skalica,Skalica,evanjelický,"domáci
",-,-,1,1,48.845208 17.227913
Trnavský,Skalica,Trnovec,katolícky obecný,"domáci
",-,-,1,1,48.794629 17.191631
Trnavský,Skalica,Vlčkovany,obecný,"slov.
",-,-,1,1,48.840324 21.030912
Košický,Sobrance,Bežovce,nový obecný,"čes.
",-,-,1,1,48.64765 22.139306
Košický,Sobrance,Fekišovce,katolícky obecný,"čes.
","zranený v boji
","6/1919
",1,1,48.774404 22.091721
Košický,Sobrance,Hnojné,obecný,"juh.
",-,-,1,1,48.781679 22.066597
Košický,Sobrance,Horňa,obecný,"neznámy
",-,-,1,1,48.762948 22.208974
Košický,Sobrance,Choňkovce,obecný,"domáci
",-,-,1,1,48.799888 22.259629
Košický,Sobrance,Komárovce,obecný,"domáci
",-,-,4,4,48.571075 21.111852
Košický,Sobrance,Koňuš,spoločný obecný,"domáci
",-,-,1,1,48.774612 22.303796
Košický,Sobrance,Koňuš,židovský obecný,"domáci
",-,-,1,1,48.774612 22.303796
Košický,Sobrance,Nižnia Rybnica,katolícky obecný,"poľ.
",-,-,3,3,48.82139 22.17676
Košický,Sobrance,Orechová,gréckokatolícky obecný,"čs.
",-,-,2,2,48.708798 22.227424
Košický,Sobrance,Porúbka,gréckokatolícky obecný,"domáci
",-,-,2,2,49.151592 18.728189
Košický,Sobrance,Sentuš,evanjelický obecný,"domáci
rus.
",-,-,2,2,48.683333 22.133333
Košický,Sobrance,Sobrance,obecný,"čes.
rus.
",-,-,2,2,48.745833 22.179722
Košický,Sobrance,Vojnatina,gréckokatolícky obecný,"domáci
",-,-,2,2,48.73665 22.237437
Prešovský,Spišská Stará Ves,Spišská Stará Ves,-,"2 čes.
1 tal.
2 poľ.
2 juh.
",-,-,5,5,49.383146 20.359814
Prešovský,Spišská Nová Ves,Hnilčík,katolícky obecný,"juh.
",-,-,1,1,48.849743 20.549408
Prešovský,Spišská Nová Ves,Hnilčík,obecný,"neznámi
",-,-,2,2,48.849743 20.549408
Prešovský,Spišská Nová Ves,Hnilec,obecný,"neznámi
","padli v boji
","6/1919
",2,2,48.824374 20.496755
Prešovský,Spišská Nová Ves,Hrabušice,obecný,"slov.
poľ.
",-,-,2,2,48.95704 20.385408
Prešovský,Spišská Nová Ves,Markušovce,obecný,"2 rum.
1poľ.
","cholera
","1914
",3,3,48.901535 20.629031
Prešovský,Spišská Nová Ves,Olcnava,katolícky obecný,"domáci
",-,-,1,1,48.910782 20.742499
Prešovský,Spišská Nová Ves,Ráztoky,katolícky obecný,"2 nez. 
1poľ.
",-,-,3,3,49.39932 21.48521
Prešovský,Spišská Nová Ves,Smižany,obecný,"domáci
",-,-,1,1,48.925912 20.487251
Prešovský,Spišská Nová Ves,Spišské Vlachy,katolícky obecný,"1 domáci
1 maď.
1 poľ.
2 juh.
1neznámy
",-,-,6,6,48.947945 20.797257
Prešovský,Spišská Nová Ves,Vondrišel,obecný,"neznámi
",-,-,2,2,48.841413 20.620065
Prešovský,Stropkov,Bodružal,obecný,"neznámi
",-,-,1,400,49.351934 21.707716
Prešovský,Stropkov,Breznica,vojenský,"neznámi
",-,-,35,35,49.155577 21.66333
Prešovský,Stropkov,Breznička,vojenský obecný,"neznámi
",-,-,22,22,48.415591 19.734405
Prešovský,Stropkov,Cernina,vojenský súkromný,"30 poľ.
18 rum.
1 juh.
277 neznámi
",-,"1915
",44,44,49.054804 21.821026
Prešovský,Stropkov,Dobroslava,obecný,"neznámi
","padli pri obci
","12/1914
",2,2,49.369308 21.617648
Prešovský,Stropkov,Dolhoňa,obecný,"1 juh.
23 neznámi
","padli v boji
","1915
",7,7,49.40355 21.56894
Prešovský,Stropkov,Dubová,gréckokatolícky obecný,"neznámi
",-,-,11,11,48.374716 17.321019
Prešovský,Stropkov,Duplín,obecný,"neznámi
",-,-,11,18,49.239753 21.62352
Prešovský,Stropkov,Grybov,obecný,"neznámi
","padli v boji v obci
","1/1915
",2,4,49.29476 21.72412
Prešovský,Stropkov,Havranec,obecný,"neznámi
","padli v boji
","1914
",3,3,49.419334 21.543864
Prešovský,Stropkov,Hunkovce,vojenský,"neznámi
","padli v boji
","1915
",5,5,49.363587 21.6533
Prešovský,Stropkov,Chotča,vojenský,"neznámi
",-,"1914
",33,33,49.24096 21.699956
Prešovský,Stropkov,Kapišová,obecný,"neznámi
",-,-,9,9,49.343545 21.596034
Prešovský,Stropkov,Kečkovce,gréckokatolícky obecný,"neznámi
",-,-,6,6,49.397571 21.514517
Prešovský,Stropkov,Korejovce,obecný,"neznámi
",-,"1914
",5,5,49.382055 21.642821
Prešovský,Stropkov,Kožuchovce,obecný,"neznámi
",-,"1914
",1,-,49.324997 21.702353
Prešovský,Stropkov,Krajná Bystrá,obecný,"neznámi
",-,"1914
",24,64,49.393599 21.674329
Prešovský,Stropkov,Krajná Poľana,obecný,"neznámi
","padli na bojisku
",-,7,7,49.36322 21.685297
Prešovský,Stropkov,Krajná Porubka,obecný,"neznámi
","padli v boji
","1914
",14,14,49.416982 21.646836
Prešovský,Stropkov,Krajné Čarno,obecný,"neznámi
","padli
","1914
",3,3,49.34986 21.66347
Prešovský,Stropkov,Krušinec,obecný,"neznámy
",-,-,1,1,49.237157 21.657518
Prešovský,Stropkov,Kružlová,obecný,"neznámi
",-,"1914
",5,5,49.363797 21.578074
Prešovský,Stropkov,Kurimka,obecný,"4 tal. 
7 poľ.
3 rum.
2 juh.
74 neznámi
",-,-,11,11,49.32522 21.431639
Prešovský,Stropkov,Ladomirová,vojenský obecný,"neznámi
",-,-,38,38,49.332269 21.635881
Prešovský,Stropkov,Medvedzie,obecný,"neznámi
","padli v boji
","1914
",35,35,48.855637 19.629694
Prešovský,Stropkov,Mirola,obecný,"neznámi
",-,"1914
",1,1,49.334229 21.73031
Prešovský,Stropkov,Mlynárovce,vojenský obecný,"neznámi
",-,-,54,54,49.250395 21.521679
Prešovský,Stropkov,Nižný Komárnik,obecný,"neznámi
",-,"1914
",1,1,49.381939 21.726126
Prešovský,Stropkov,Nižný Mirošov,obecný,"neznámi
",-,-,1,1,49.358818 21.472816
Prešovský,Stropkov,Nižný Mirošov,-,"neznámi
",-,-,2,12,49.358818 21.472816
Prešovský,Stropkov,Nižný Orlík I,vojenský súkromný,"18 rum.
183 neznámi
",-,-,112,112,49.33575 21.52539
Prešovský,Stropkov,Nižný Orlík,vojenský obecný,"40 rum.
106 neznámi
",-,"10/1914
",24,146,49.334796 21.528343
Prešovský,Stropkov,Nižný Svidník,vojenský štátny,"neznámi
",-,-,37,37,49.35593 21.47447
Prešovský,Stropkov,Nižnia Písaná,obecný,"neznámi
",-,"1914
",4,4,49.40203 21.61354
Prešovský,Stropkov,Potočky,obecný,"1 maď.
8 neznámi
",-,-,9,9,49.206527 21.719269
Prešovský,Stropkov,Pstriná,obecný,"neznámi
",-,-,2,2,49.309 21.747604
Prešovský,Stropkov,Prikra,obecný,"neznámi
","padli
","2/1915
",1,35,49.362717 21.745526
Prešovský,Stropkov,Roztoky,obecný,"neznámi
",-,-,3,9,49.39932 21.48521
Prešovský,Stropkov,Solník,vojenský obecný,"neznámi
",-,"1914
",16,16,49.212502 21.74236
Prešovský,Stropkov,Rovné,vojenský obecný,"neznámi
",-,"1914
",51,411,48.97352 22.017247
Prešovský,Stropkov,Stropkov,vojenský obecný,"neznámi
",-,-,80,80,49.2025 21.651944
Prešovský,Stropkov,Stropkov,židovský,"neznámi
","padli
","4/1915
",2,2,49.2025 21.651944
Prešovský,Stropkov,Svidnička,obecný,"neznámi
",-,"1914
",4,4,49.386554 21.566875
Prešovský,Stropkov,Šarbov,obecný,"nem.
11 neznámi
",-,-,4,12,49.429369 21.624109
Prešovský,Stropkov,Tisinec,obecný,"neznámi
",-,-,2,2,49.22272 21.641055
Prešovský,Stropkov,Tisinec,vojenský súkromný,"30 neznámi
",-,-,23,23,49.22272 21.641055
Prešovský,Stropkov,Tokajík,obecný,"neznámy
",-,-,1,1,49.111031 21.70601
Prešovský,Stropkov,Turiany,vojenský,"neznámi
","padli
","4/1915
",29,29,48.182777 17.391141
Prešovský,Stropkov,Vápeník,obecný,"1 rak.
15 neznámi
",-,-,3,3,49.395487 21.540487
Prešovský,Stropkov,Veľké Bukovce,vojenský obecný,"neznámi
",-,-,20,20,48.840324 21.030912
Prešovský,Stropkov,Velkrop,vojenský obecný,"neznámi
",-,-,55,55,49.235178 21.747751
Prešovský,Stropkov,Vyšný Orlík I,vojenský súkromný,"1 rak.,1 rum.
79 neznámi
",-,-,52,52,49.3435 21.50217
Prešovský,Stropkov,Vyšný Orlík II,vojenský súkromný,"neznámi
",-,-,2,164,49.3435 21.50217
Prešovský,Stropkov,Vyšný Komárnik,obecný,"neznámi
",-,-,3,3,49.404703 21.706582
Prešovský,Stropkov,Vyšný Mirošov,vojenský,"1 rum.
209 neznámi
",-,-,130,130,49.392743 21.452499
Prešovský,Stropkov,Vyšný Svidník,vojenský,"neznámi
",-,-,51,51,49.3435 21.50217
Trnavský,Stará Ďala,Bajč,vojenský katolícky,"7 čes.
2 slov.
","padli v boji
","23/6/1919
",9,9,47.925965 18.223409
Trnavský,Stará Ďala,Bajč,katolícky civilný,"7 čs.
2 maď.
8 neznámi
","1 Čech padol v boji
1 padol
3 padli
","21/6/1919
6/1919
6/1919
",8,8,47.925965 18.223409
Trnavský,Stará Ďala,Čechy,katolícky,"rus.
",-,-,1,1,48.04135 18.366057
Trnavský,Stará Ďala,Bajč,reformovaný,"neznámi
","1 boľšev. padol
","6/1919
",2,2,47.925965 18.223409
Trnavský,Stará Ďala,Dvory nad Žitavou,katolícky,"1 čes.
13 neznámi
","zastrelený obyvateľmi padli v boji s maďarmi
","6/1919
6/1919
",10,14,47.987511 18.266438
Trnavský,Stará Ďala,Hetín,katolícky,"slov.
",-,-,1,1,49.196852 18.381893
Trnavský,Stará Ďala,Hetín,reformovaný,"slov.
",-,-,2,2,49.196852 18.381893
Trnavský,Stará Ďala,Imel,reformovaný,"domáci
",-,-,1,1,47.899144 18.142104
Trnavský,Stará Ďala,Iža,-,"maď. boľš.
","padli v boji s čs. voj.
","6/1919
",2,2,47.785724 18.23316
Trnavský,Stará Ďala,Jasová,katolícky,"tal.
",-,-,2,2,47.985997 18.400549
Trnavský,Stará Ďala,Kolta,katolícky,"slov.
","padol
","6/1919
",1,1,48.021468 18.422676
Trnavský,Stará Ďala,Madar,obecný,"4 domáci
1 maď. boľš.
3 nez. boľš.
",-,"6/1919
6/1919
",6,6,47.816365 18.362775
